REGIONAL;COD_ESCOLA;ESCOLA;QUANTIDADE
SUBURBIO II;1112;ESCOLA MUNICIPAL DE BOTELHO;63
SUBURBIO II;1113;ESCOLA MUNICIPAL OITO DE MAIO;179
SUBURBIO II;1114;ESCOLA MUNICIPAL FRANCISCA DE SANDE;559
SUBURBIO II;1115;ESCOLA MUNICIPAL CLAUDEMIRA SANTOS LIMA;84
SUBURBIO II;1116;ESCOLA MUNICIPAL D EUGENIO DE ARAUJO SALES;194
SUBURBIO II;1117;ESCOLA MUNICIPAL ANFILOFIO DE CARVALHO;283
SUBURBIO II;1118;ESCOLA MUNICIPAL DE PARIPE;1381
SUBURBIO II;1119;ESCOLA MUNICIPAL NOSSA SENHORA DA CONCEICAO;232
SUBURBIO II;1121;ESCOLA MUNICIPAL DE ILHA DE MARE;477
SUBURBIO II;1123;ESCOLA MUNICIPAL PRESIDENTE MEDICI;429
SUBURBIO II;1124;ESCOLA MUNICIPAL VISCONDE DE CAIRU;202
SUBURBIO II;1125;ESCOLA MUNICIPAL DE PERIPERI;1193
SUBURBIO II;1126;ESCOLA MUNICIPAL MIRANTES DE PERIPERI;358
SUBURBIO II;1127;ESCOLA MUNICIPAL ALTO DE COUTOS;245
SUBURBIO II;1128;ESCOLA MUNICIPAL SAO DOMINGOS;284
SUBURBIO II;1129;ESCOLA MUNICIPAL RUI BARBOSA;181
SUBURBIO II;1130;ESCOLA MUNICIPAL D PEDRO I;336
SUBURBIO II;1131;ESCOLA MUNICIPAL FERNANDO PRESIDIO;376
SUBURBIO II;1132;ESCOLA MUNICIPAL NOSSA SENHORA DE FATIMA;32
SUBURBIO II;1135;CENTRO MUNICIPAL DE EDUCACAO INFANTIL ALVARO BAHIA;76
SUBURBIO II;1136;CENTRO MUNICIPAL DE EDUCACAO INFANTIL HELIO VIANNA;169
SUBURBIO II;1137;ESCOLA MUNICIPAL PROFESSOR WILLIAM MARQUES DE ARAUJO GOES;368
SUBURBIO II;1138;CRECHE E PRE ESCOLA PRIMEIRO PASSO TUBARAO;281
SUBURBIO II;1139;CRECHE E PRE ESCOLA PRIMEIRO PASSO PERIPERI;176
SUBURBIO II;1141;ESCOLA MUNICIPAL DE BOM JESUS;161
SUBURBIO II;1142;ESCOLA MUNICIPAL GUERREIRA ZEFERINA;215
SUBURBIO II;1143;ESCOLA MUNICIPAL ILHA DOS FRADES;83
SUBURBIO II;1144;ESCOLA MUNICIPAL BERNADINA LIMA LISBOA;65
